task,n_train,target_es,actual_es,kl,logit_diff,prob_diff
ioi_t1,200,0.99,0.9820257425308228,0.6827837123887026,0.2625664697361024,
ioi_t1,200,0.99,0.9820257425308228,0.6827833882556552,0.26256754339937227,
ioi_t1,200,0.995,0.9838171005249023,0.7166695786014186,0.3533421990982697,
ioi_t1,200,0.995,0.9838171005249023,0.7166695640427798,0.35334246275681586,
ioi_t1,200,1.0,0.9850316047668457,1.4621845715312574,-1.8055316496682978,
ioi_t1,200,1.0,0.9850316047668457,1.4621850162458265,-1.8055315883523568,
ioi_t1,200,1.01,0.9863978624343872,1.1660494965190844,-0.6348577183718269,
ioi_t1,200,1.01,0.9863978624343872,1.1660493890253496,-0.6348584990929029,
ioi_t1,200,1.02,0.9868836402893066,0.9292952028307225,-0.20199146107947558,
ioi_t1,200,1.02,0.9868836402893066,0.9292955124597062,-0.20198974930755104,
ioi_t1,200,1.05,0.9904966950416565,1.251189581889774,-0.7871227093142531,
ioi_t1,200,1.05,0.9904966950416565,1.2511896559260989,-0.7871225001000338,
ioi_t1,200,1.1,0.9906485080718994,0.9881175043976697,-0.29126969785598333,
ioi_t1,200,1.1,0.9906485080718994,0.9881170499207188,-0.29126677234557896,
